stimulus,List,Concrete_m,Concrete_sd,Number_of_ratings,Number_of_N-respones,Number_of_subjects
aanvinken,2,3.73,1.10,15,0,15
aanvliegen,5,2.93,1.21,14,1,15
aanvoelen,4,2.13,1.06,15,0,15
aanvoer,5,2.60,1.12,15,0,15
aanvoerder,2,2.80,1.15,15,0,15
aanvoeren,1,2.40,1.12,15,0,15
aanvoerster,1,3.33,0.98,15,0,15
aanvraag,4,2.67,1.23,15,0,15
aanvragen,5,2.47,1.41,15,0,15
aanvrager,3,2.67,1.11,15,0,15
aanvreten,3,2.93,1.00,14,1,15
aanvullen,4,3.20,1.32,15,0,15
aanvullend,3,1.93,1.03,15,0,15
aanvulling,2,2.67,0.98,15,0,15
aanvuren,5,3.07,1.21,14,1,15
aanwaaien,3,2.33,1.05,15,0,15
aanwakkeren,2,2.53,0.99,15,0,15
aanwas,4,2.50,1.41,8,7,15
aanwenden,1,1.93,1.10,15,0,15
aanwensel,1,1.92,0.90,12,3,15
aanwerven,5,2.80,1.15,15,0,15
aanwezig,4,2.33,1.11,15,0,15
aanwezige,2,2.67,1.11,15,0,15
aanwezigheid,1,2.60,1.35,15,0,15
aanwijzen,2,3.73,1.03,15,0,15
aanwijzing,1,2.60,1.12,15,0,15
aanwinst,4,2.40,0.83,15,0,15
aanwrijven,2,2.67,1.23,15,0,15
aanzegger,5,1.78,0.83,9,6,15
aanzet,4,2.00,0.76,15,0,15
aanzetten,4,3.00,1.18,14,1,15
aanzicht,3,2.60,1.18,15,0,15
aanzien,2,1.80,0.86,15,0,15
aanzienlijk,5,1.20,0.56,15,0,15
aanzitten,1,3.20,0.86,15,0,15
aanzoek,5,2.60,1.45,15,0,15
aanzuiveren,5,2.00,0.78,14,1,15
aanzwengelen,1,3.14,1.29,14,1,15
aap,3,4.73,0.59,15,0,15
aapmens,5,4.27,0.59,15,0,15
aar,5,3.63,1.51,8,7,15
aard,2,1.33,0.49,15,0,15
aardappel,3,4.93,0.26,15,0,15
aardappelen,3,4.93,0.26,15,0,15
aardappelpuree,5,4.80,0.56,15,0,15
aardbei,1,5.00,0.00,15,0,15
aardbeien,1,4.93,0.26,15,0,15
aardbeving,5,4.29,0.99,14,1,15
aardbewoner,4,3.60,1.06,15,0,15
aardbodem,3,3.53,1.06,15,0,15
aardbol,4,4.33,0.62,15,0,15
aarde,3,3.67,1.29,15,0,15
aarden,2,2.27,1.16,15,0,15
aardewerk,3,4.07,1.03,15,0,15
aardgas,2,3.80,1.15,15,0,15
aardig,2,2.47,1.13,15,0,15
aardigheid,4,2.33,1.05,15,0,15
aardigheidje,3,1.73,0.96,15,0,15
aarding,1,2.80,1.66,15,0,15
aardkorst,3,3.53,1.36,15,0,15
aardlaag,4,3.79,1.05,14,1,15
aardnoot,1,4.57,0.51,14,1,15
aardolie,3,3.93,1.33,15,0,15
aardrijk,2,2.00,1.35,12,3,15
aardrijkskunde,4,2.36,1.15,14,1,15
aards,3,2.07,1.10,15,0,15
aardschok,4,4.13,0.64,15,0,15
aardstralen,3,2.00,1.04,14,1,15
aardvarken,3,4.67,0.72,15,0,15
aars,1,4.80,0.41,15,0,15
aartsengel,5,1.93,1.33,14,1,15
aartsrivaal,2,2.27,1.28,15,0,15
aartsvijand,1,2.67,1.18,15,0,15
aarzelen,3,2.40,1.24,15,0,15
aarzelend,5,2.60,1.24,15,0,15
aarzeling,3,2.53,1.13,15,0,15
aas,2,3.87,0.92,15,0,15
aaseter,2,3.33,1.11,15,0,15
aasgier,4,3.36,1.50,14,1,15
abacadabra,1,1.33,0.72,15,0,15
abattoir,5,3.56,1.74,9,6,15
abces,3,4.00,0.85,15,0,15
abdicatie,2,1.80,1.30,5,10,15
abdij,5,4.60,0.74,15,0,15
abdis,2,2.75,1.50,4,11,15
abdomen,2,3.56,1.42,9,6,15
abdominaal,5,1.92,0.86,13,2,15
abeel,5,3.83,1.60,6,9,15
aberrant,4,2.00,1.55,6,9,15
aberratie,4,2.38,1.51,8,7,15
abject,3,3.00,1.73,3,12,15
ablatief,3,1.88,1.13,8,7,15
abnormaal,2,1.93,0.80,15,0,15
abolitie,2,1.86,0.69,7,8,15
abominabel,5,1.36,0.67,11,4,15
abonnee,4,3.00,1.31,15,0,15
abonnement,4,3.07,1.10,15,0,15
abonneren,4,1.93,1.03,15,0,15
aborteren,2,2.87,1.36,15,0,15
aborteur,1,2.92,1.16,12,3,15
abortus,3,3.00,1.36,15,0,15
abracadabra,4,1.40,0.51,15,0,15
abri,5,4.20,1.10,5,10,15
abrikoos,2,4.93,0.26,15,0,15
abrupt,3,2.07,1.03,15,0,15
abscis,4,3.30,1.42,10,5,15
absent,4,2.00,0.96,14,1,15
absentie,5,1.71,0.73,14,1,15
absint,1,4.50,1.09,14,1,15
absolutie,4,1.36,0.50,14,1,15
absolutisme,1,1.36,0.74,14,1,15
absoluut,2,1.33,0.72,15,0,15
absorberen,2,3.47,0.83,15,0,15
absorptie,3,2.93,0.96,15,0,15
abstinentie,4,2.22,0.97,9,6,15
