stimulus,List,Concrete_m,Concrete_sd,Number_of_ratings,Number_of_N-respones,Number_of_subjects
ouwelijk,1,2.08,1.00,12,3,15
ouwelui,5,2.67,1.11,15,0,15
ovaal,1,4.20,1.08,15,0,15
ovarium,5,4.22,1.39,9,6,15
ovatie,1,3.46,1.39,13,2,15
ovationeel,5,1.50,0.84,6,9,15
oven,5,4.60,0.91,15,0,15
ovenvast,5,2.38,1.50,13,2,15
ovenvers,4,3.47,1.25,15,0,15
over,1,1.33,0.62,15,0,15
overal,3,2.00,1.31,15,0,15
overall,2,4.40,1.18,15,0,15
overbelasten,2,2.47,0.83,15,0,15
overbezorgd,4,1.86,0.66,14,1,15
overblijfsel,2,2.93,0.96,15,0,15
overblijven,1,2.93,1.16,15,0,15
overbluffen,3,2.20,0.94,15,0,15
overbodig,4,1.80,1.08,15,0,15
overboeken,3,2.13,1.36,15,0,15
overboeking,5,2.33,0.98,15,0,15
overboord,3,3.07,0.96,15,0,15
overbrengen,3,2.73,0.96,15,0,15
overbrieven,5,2.57,0.85,14,1,15
overbruggen,2,2.27,0.80,15,0,15
overburen,3,3.53,1.13,15,0,15
overbuurman,1,3.93,1.03,15,0,15
overdaad,5,1.71,0.61,14,1,15
overdadig,1,1.53,0.74,15,0,15
overdag,2,3.00,1.13,15,0,15
overdekken,2,3.40,1.06,15,0,15
overdekt,4,4.07,0.88,15,0,15
overdenken,5,2.33,0.90,15,0,15
overdoen,4,2.53,1.30,15,0,15
overdonderen,5,2.27,1.10,15,0,15
overdosis,3,2.47,1.30,15,0,15
overdracht,3,2.33,1.11,15,0,15
overdragen,1,2.33,0.82,15,0,15
overdreven,2,2.07,0.96,15,0,15
overdrijven,3,2.40,1.12,15,0,15
overdrijving,2,2.20,1.01,15,0,15
overdruk,4,2.64,1.15,14,1,15
overdwars,3,1.92,1.12,13,2,15
overeen,3,1.93,0.96,15,0,15
overeenkomen,4,1.93,0.70,15,0,15
overeenkomst,3,1.93,0.80,15,0,15
overeind,4,2.13,1.19,15,0,15
overgaan,3,2.27,1.10,15,0,15
overgang,2,2.33,0.82,15,0,15
overgave,5,2.33,1.18,15,0,15
overgeven,1,4.20,0.86,15,0,15
overgevoelig,3,2.07,1.03,15,0,15
overgewicht,4,3.67,0.90,15,0,15
overgieten,1,3.87,0.99,15,0,15
overgooier,5,3.38,1.26,13,2,15
overhaast,1,1.71,0.91,14,1,15
overhaasten,3,2.40,1.12,15,0,15
overhalen,3,2.07,1.10,15,0,15
overhand,5,1.40,0.51,15,0,15
overhandigen,2,3.13,1.41,15,0,15
overhead,4,3.33,1.15,12,3,15
overhebben,1,2.20,1.08,15,0,15
overheen,2,2.07,1.10,15,0,15
overheerlijk,2,2.20,1.15,15,0,15
overheersen,2,2.33,0.62,15,0,15
overheersend,1,2.00,0.93,15,0,15
overheersing,2,1.93,0.70,15,0,15
overheid,3,1.73,0.88,15,0,15
overhellen,4,3.07,1.28,15,0,15
overhemd,4,4.67,0.49,15,0,15
overhevelen,4,2.54,1.05,13,2,15
overhoop,3,2.13,0.74,15,0,15
overhoren,1,3.13,1.25,15,0,15
overhoring,1,3.20,1.26,15,0,15
overhouden,1,2.60,1.30,15,0,15
overig,3,1.40,0.74,15,0,15
overigens,5,1.27,0.80,15,0,15
overijld,5,1.60,0.97,10,5,15
overijverig,2,2.13,0.83,15,0,15
overjarig,2,1.86,0.95,14,1,15
overjas,1,4.53,0.64,15,0,15
overkant,3,3.00,1.36,15,0,15
overkapping,5,2.86,1.23,14,1,15
overklassen,3,2.15,0.99,13,2,15
overkoepelen,3,2.33,1.11,15,0,15
overkoken,5,3.73,1.03,15,0,15
overkomen,2,1.93,0.70,15,0,15
overkopen,1,3.07,1.33,15,0,15
overladen,1,3.27,0.96,15,0,15
overlangs,5,1.86,1.29,14,1,15
overlappen,3,3.27,1.39,15,0,15
overlast,1,2.60,0.99,15,0,15
overlaten,5,2.33,0.72,15,0,15
overleden,5,2.53,1.41,15,0,15
overledene,3,2.87,1.25,15,0,15
overleg,4,2.27,0.88,15,0,15
overleggen,4,2.27,0.88,15,0,15
overleven,2,2.67,0.98,15,0,15
overlevende,4,3.27,1.33,15,0,15
overleveren,5,1.80,0.94,15,0,15
overlevering,2,1.80,0.68,15,0,15
overleving,4,2.47,0.99,15,0,15
overlijden,1,3.47,1.06,15,0,15
overloop,1,3.67,1.40,15,0,15
overlopen,5,2.80,1.21,15,0,15
overloper,4,3.13,1.19,15,0,15
overmacht,1,1.93,0.80,15,0,15
overmaken,5,2.27,0.88,15,0,15
overmand,4,2.38,0.96,13,2,15
overmannen,5,2.54,1.13,13,2,15
overmatig,3,1.80,0.94,15,0,15
overmeesteren,3,2.67,1.11,15,0,15
overmoed,5,1.73,0.70,15,0,15
overmoedig,5,2.13,0.99,15,0,15
overmorgen,2,2.20,0.94,15,0,15
overnachten,1,3.40,1.12,15,0,15
overnachting,2,3.00,1.00,15,0,15
overname,4,2.13,0.99,15,0,15
overnemen,1,3.00,1.07,15,0,15
overnieuw,3,2.07,1.33,14,1,15
overpeinzing,4,2.08,0.76,13,2,15
overplaatsen,3,2.53,1.19,15,0,15
overplaatsing,2,2.47,0.83,15,0,15
overreden,1,3.67,0.98,15,0,15
overrijden,5,3.73,1.10,15,0,15
overrompelen,2,2.47,0.99,15,0,15
overschaduwen,3,2.33,1.11,15,0,15
overschatten,4,2.33,0.90,15,0,15
overschieten,1,2.47,1.25,15,0,15
overschot,3,2.67,1.11,15,0,15
overschrijden,1,2.53,1.25,15,0,15
overschrijven,5,3.33,1.40,15,0,15
overschrijving,5,3.13,1.30,15,0,15
oversekst,2,2.20,1.08,15,0,15
overslaan,2,2.67,0.90,15,0,15
overslag,2,2.69,1.18,13,2,15
overslapen,1,3.73,0.88,15,0,15
overspannen,2,2.47,1.06,15,0,15
overspel,1,2.80,1.26,15,0,15
overspelig,5,2.27,0.88,15,0,15
overspoelen,5,3.67,1.18,15,0,15
overstappen,5,3.20,1.21,15,0,15
overste,4,2.57,1.16,14,1,15
oversteek,2,3.53,0.92,15,0,15
oversteken,3,3.53,1.30,15,0,15
overstelpen,5,2.40,0.99,15,0,15
overstemmen,3,2.20,1.08,15,0,15
overstijgen,1,2.87,1.19,15,0,15
overstromen,4,3.67,1.18,15,0,15
overstroming,1,4.13,0.83,15,0,15
overstuur,1,2.33,1.18,15,0,15
overtallig,1,2.20,1.08,15,0,15
overtappen,5,3.62,1.33,13,2,15
overtekenen,5,3.67,1.29,15,0,15
overtocht,3,2.79,1.25,14,1,15
overtollig,2,2.33,0.98,15,0,15
overtreden,1,2.33,1.05,15,0,15
overtreder,2,2.87,1.19,15,0,15
overtreding,3,2.40,1.55,15,0,15
overtreffen,4,2.20,0.86,15,0,15
overtrekken,5,3.33,1.29,15,0,15
overtroeven,4,2.33,0.90,15,0,15
overtuigd,4,1.87,0.83,15,0,15
overtuigen,4,2.00,0.85,15,0,15
overtuigend,4,2.00,0.85,15,0,15
overtuiging,5,1.60,0.74,15,0,15
overuur,5,2.53,1.19,15,0,15
overval,1,3.53,1.13,15,0,15
overvallen,1,3.53,0.92,15,0,15
overvaller,2,3.60,1.12,15,0,15
oververhit,5,3.27,1.03,15,0,15
oververhitten,1,3.20,1.01,15,0,15
overvliegen,1,3.73,0.88,15,0,15
overvloed,4,2.67,0.98,15,0,15
overvloedig,2,2.53,0.83,15,0,15
overvoeren,4,2.62,1.26,13,2,15
overvol,5,3.20,1.01,15,0,15
overvragen,4,2.09,0.83,11,4,15
overwaaien,5,2.53,0.99,15,0,15
overweg,2,3.73,1.39,15,0,15
overwegen,5,1.80,0.68,15,0,15
overwegend,1,1.87,0.99,15,0,15
overweging,2,1.40,0.51,15,0,15
overweldigen,4,1.87,0.74,15,0,15
overweldigend,2,1.93,0.70,15,0,15
overwelving,1,2.93,1.33,14,1,15
overwerk,4,2.86,1.03,14,1,15
overwerken,4,2.40,1.12,15,0,15
overwerkt,2,2.20,1.01,15,0,15
overwicht,1,2.47,1.06,15,0,15
overwinnaar,1,3.13,1.19,15,0,15
overwinnen,5,2.60,1.12,15,0,15
overwinning,2,2.80,1.08,15,0,15
overwinteren,4,2.50,1.02,14,1,15
overwoekeren,5,3.40,1.24,15,0,15
overzee,2,2.67,1.23,15,0,15
overzees,3,2.67,1.18,15,0,15
overzet,3,2.69,1.18,13,2,15
overzetboot,3,4.20,0.68,15,0,15
overzetten,3,2.73,1.10,15,0,15
overzicht,1,2.13,1.06,15,0,15
overzien,2,2.20,0.77,15,0,15
overzijde,1,3.27,1.28,15,0,15
overzitter,5,2.14,0.38,7,8,15
ovulatie,5,3.00,1.41,15,0,15
ozon,1,3.13,1.19,15,0,15
ozonlaag,4,2.87,1.13,15,0,15
pa,3,3.40,1.24,15,0,15
paaien,3,2.36,0.84,14,1,15
paal,2,4.73,0.46,15,0,15
paap,2,4.33,0.58,3,12,15
paaps,4,2.20,1.30,5,10,15
paar,2,2.80,1.15,15,0,15
paard,1,4.93,0.26,15,0,15
paardenbloem,4,4.87,0.35,15,0,15
paardendief,2,3.14,1.10,14,1,15
paardenmolen,4,4.60,0.83,15,0,15
paardenrace,2,4.47,0.64,15,0,15
paardenstaart,5,4.53,0.64,15,0,15
paardenvijg,4,4.36,1.21,11,4,15
paardrift,2,2.27,1.10,15,0,15
paardrijden,3,4.33,0.82,15,0,15
paarlen,1,4.14,0.90,7,8,15
paars,4,4.13,1.41,15,0,15
paarsgewijs,5,2.53,1.51,15,0,15
paartijd,4,2.73,0.70,15,0,15
paartje,2,3.13,1.19,15,0,15
paasbest,3,1.67,1.05,15,0,15
paasbloem,4,4.80,0.41,15,0,15
paasei,5,4.60,0.63,15,0,15
paashaas,5,3.27,1.39,15,0,15
paasklok,4,3.93,1.21,14,1,15
paasvakantie,3,2.80,1.57,15,0,15
pacht,3,2.20,1.42,15,0,15
pachten,5,2.54,1.13,13,2,15
pachter,4,3.09,1.30,11,4,15
pacificatie,1,2.09,1.30,11,4,15
pacifiek,2,1.78,0.44,9,6,15
pacifisme,1,1.75,0.97,12,3,15
pacifist,5,2.20,1.01,15,0,15
pacifistisch,4,1.57,0.65,14,1,15
pact,5,2.29,1.49,14,1,15
pad,4,4.53,1.06,15,0,15
paddenstoel,4,4.87,0.35,15,0,15
paddo,1,4.36,0.50,11,4,15
paddock,4,3.50,1.73,4,11,15
padvinder,1,3.86,0.86,14,1,15
padvinderij,2,2.53,1.25,15,0,15
padvindster,1,3.73,0.96,15,0,15
paf,2,2.00,1.00,13,2,15
paffen,2,3.73,1.03,15,0,15
pafferig,2,2.85,1.14,13,2,15
pagaai,1,4.75,0.46,8,7,15
pagadder,4,3.69,0.85,13,2,15
paganisme,3,1.57,1.13,7,8,15
page,5,3.44,1.33,9,6,15
pagina,1,4.67,0.49,15,0,15
paginering,1,3.64,0.92,11,4,15
pagode,4,3.89,1.27,9,6,15
pais,2,5.00,0.00,1,14,15
pak,5,4.27,0.96,15,0,15
pakhuis,3,3.73,0.80,15,0,15
pakijs,4,4.00,0.89,11,4,15
pakje,1,4.53,0.52,15,0,15
pakjes,5,4.20,0.86,15,0,15
pakjesavond,1,3.31,1.11,13,2,15
pakkans,5,1.62,0.65,13,2,15
pakken,2,3.20,1.21,15,0,15
pakkerd,1,3.60,1.12,15,0,15
pakket,5,4.13,0.92,15,0,15
pakweg,1,1.40,1.06,15,0,15
pal,2,1.36,0.50,14,1,15
paladijn,4,4.14,1.07,7,8,15
palaveren,1,2.73,1.35,11,4,15
paleis,1,4.93,0.26,15,0,15
paleografie,3,1.90,1.20,10,5,15
paleontoloog,1,3.00,1.58,13,2,15
palet,3,4.20,0.94,15,0,15
palfrenier,3,1.00,0.00,1,14,15
palindroom,1,2.50,1.51,12,3,15
paling,4,4.73,0.80,15,0,15
palissade,1,4.73,0.47,11,4,15
palissander,4,4.50,0.58,4,11,15
paljas,4,2.60,1.30,15,0,15
pallet,4,4.53,0.64,15,0,15
palliatief,3,1.86,1.17,14,1,15
pallieter,1,3.10,1.52,10,5,15
palm,1,4.67,0.49,15,0,15
palmares,1,2.21,1.12,14,1,15
palmboom,3,4.80,0.41,15,0,15
palpabel,1,3.14,1.68,7,8,15
palperen,2,3.00,1.67,6,9,15
palpiteren,5,3.20,1.30,5,10,15
pamflet,1,4.50,0.52,14,1,15
pampa,5,4.14,0.90,7,8,15
pamper,3,4.53,1.06,15,0,15
pamperen,3,2.20,0.86,15,0,15
pan,4,4.87,0.35,15,0,15
panacee,3,2.50,1.76,6,9,15
panache,5,2.56,1.42,9,6,15
panamahoed,1,4.58,0.67,12,3,15
pancake,3,4.50,0.76,14,1,15
pancreas,4,4.27,0.88,15,0,15
pand,5,4.07,0.59,15,0,15
panda,4,4.80,0.56,15,0,15
pandemie,1,2.42,1.44,12,3,15
pandemonium,2,1.67,0.82,6,9,15
pandjeshuis,2,3.00,1.46,15,0,15
pandoering,4,3.09,1.14,11,4,15
paneel,1,4.33,0.72,15,0,15
paneermeel,4,4.47,0.99,15,0,15
panel,2,3.07,1.21,14,1,15
paneren,5,3.50,1.43,10,5,15
panfluit,5,4.80,0.56,15,0,15
paniek,2,2.73,1.10,15,0,15
paniekaanval,1,3.13,1.13,15,0,15
paniekerig,5,2.00,0.93,15,0,15
paniekzaaier,3,2.33,1.05,15,0,15
panikeren,3,2.67,1.35,15,0,15
panisch,1,1.87,1.13,15,0,15
panne,2,3.53,1.13,15,0,15
pannen,4,4.93,0.26,15,0,15
pannenkoek,4,4.73,0.80,15,0,15
pannenlap,1,4.87,0.35,15,0,15
panorama,1,3.40,1.24,15,0,15
pantalon,4,4.40,1.06,15,0,15
panter,2,4.80,0.41,15,0,15
pantheïsme,3,1.50,0.67,12,3,15
pantheïst,4,2.60,1.78,10,5,15
pantheon,1,4.36,1.15,14,1,15
pantoffel,5,4.73,0.70,15,0,15
pantoffeldiertje,3,3.87,1.06,15,0,15
pantoffelheld,2,2.21,1.31,14,1,15
pantoffels,4,4.80,0.56,15,0,15
pantomime,5,2.50,1.41,8,7,15
pantry,4,4.33,1.15,3,12,15
pantser,4,3.85,1.28,13,2,15
pantseren,1,3.50,1.22,14,1,15
pantserwagen,1,4.20,1.21,15,0,15
panty,2,4.80,0.56,15,0,15
pap,3,4.00,1.13,15,0,15
papa,2,3.00,1.31,15,0,15
papaja,3,4.60,0.63,15,0,15
papaver,5,4.71,0.61,14,1,15
papegaai,5,4.87,0.52,15,0,15
papenvreter,4,3.50,1.91,4,11,15
paper,2,3.57,1.22,14,1,15
paperassen,3,3.07,1.03,15,0,15
paperback,1,4.09,0.94,11,4,15
paperclip,1,4.93,0.26,15,0,15
papfles,1,4.73,0.46,15,0,15
papier,3,4.73,0.80,15,0,15
papierbak,3,4.60,0.51,15,0,15
papieren,4,4.53,0.64,15,0,15
papierklem,1,4.60,0.83,15,0,15
papiertje,2,4.73,0.46,15,0,15
papierwerk,5,2.93,0.96,15,0,15
papierwinkel,1,4.27,0.70,15,0,15
papil,5,3.93,1.00,14,1,15
papillot,3,4.42,0.79,12,3,15
papkind,5,2.77,1.30,13,2,15
paplepel,1,4.33,1.11,15,0,15
pappa,3,3.10,1.20,10,5,15
pappen,4,3.08,1.08,12,3,15
pappenheimer,1,2.67,1.50,9,6,15
papperig,2,3.27,1.10,15,0,15
paprika,4,4.87,0.52,15,0,15
papyrus,4,4.57,0.51,14,1,15
papzak,5,2.53,0.92,15,0,15
para,4,4.17,1.19,12,3,15
paraaf,1,4.09,1.22,11,4,15
paraat,2,1.73,0.96,15,0,15
paraatheid,4,2.33,0.82,15,0,15
parabel,5,2.33,1.23,12,3,15
parabool,3,3.38,1.19,13,2,15
parachute,5,4.47,0.92,15,0,15
parachutist,1,4.33,0.72,15,0,15
paracommando,5,3.07,1.16,15,0,15
parade,4,4.13,0.83,15,0,15
paraderen,2,2.87,1.25,15,0,15
paradigma,3,1.40,0.74,15,0,15
paradijs,4,2.87,1.30,15,0,15
paradox,5,1.20,0.56,15,0,15
paraferen,1,4.27,0.47,11,4,15
parafernalia,3,2.80,1.30,5,10,15
paraffine,2,3.91,1.38,11,4,15
parafrase,2,2.07,0.73,14,1,15
parafraseren,2,2.57,1.09,14,1,15
paragnost,1,2.20,1.23,10,5,15
paragraaf,2,3.53,1.06,15,0,15
parallel,1,3.40,1.24,15,0,15
parallellogram,5,4.33,1.23,15,0,15
paralyse,2,2.31,1.25,13,2,15
paramedicus,5,2.57,1.16,14,1,15
paramedisch,4,2.08,1.12,13,2,15
parameter,4,2.00,1.25,15,0,15
paramilitair,4,3.58,1.24,12,3,15
paranimf,3,1.00,0.00,2,13,15
paranoia,3,1.87,1.13,15,0,15
paranoïde,2,1.93,1.22,15,0,15
paranoot,5,3.33,1.63,6,9,15
paranormaal,3,1.73,0.96,15,0,15
paraplu,5,4.80,0.56,15,0,15
parasiet,1,3.73,1.22,15,0,15
parasitair,4,2.33,1.18,15,0,15
parasiteren,4,1.86,0.77,14,1,15
parasol,2,4.80,0.41,15,0,15
parastataal,1,2.40,1.52,5,10,15
parastatale,5,2.75,1.71,4,11,15
paratroepen,2,3.29,1.14,14,1,15
paratroeper,4,3.83,0.83,12,3,15
parcours,1,4.07,0.80,15,0,15
pardoes,1,1.29,0.61,14,1,15
pardon,2,1.40,0.74,15,0,15
pardonneren,1,2.21,1.31,14,1,15
parel,3,4.33,1.05,15,0,15
parelen,4,3.09,1.14,11,4,15
parelhoen,2,4.60,0.83,15,0,15
parelketting,3,4.73,0.46,15,0,15
parelmoer,5,4.50,0.76,14,1,15
parels,2,4.87,0.35,15,0,15
paren,3,3.67,1.29,15,0,15
parenthese,2,2.64,1.75,11,4,15
pareren,4,2.20,1.23,10,5,15
parfum,3,4.47,0.64,15,0,15
parfumeren,1,3.87,0.92,15,0,15
parfumerie,3,3.93,0.88,15,0,15
paria,3,2.70,1.49,10,5,15
paring,2,3.47,0.83,15,0,15
paritair,1,1.82,1.25,11,4,15
pariteit,3,1.80,1.03,10,5,15
park,2,4.60,0.63,15,0,15
parka,3,4.64,0.67,11,4,15
parkeerbon,3,4.27,0.88,15,0,15
parkeerhaven,2,3.92,1.26,13,2,15
parkeermeter,5,4.60,0.74,15,0,15
parkeerplaats,3,4.47,0.64,15,0,15
parkeerplek,3,4.27,0.70,15,0,15
parkeerterrein,2,4.20,0.86,15,0,15
parkeren,2,4.07,0.70,15,0,15
parket,5,4.07,1.16,15,0,15
parkiet,5,4.87,0.52,15,0,15
parking,3,4.40,0.51,15,0,15
parkoers,3,3.57,0.94,14,1,15
parkwachter,3,3.80,0.77,15,0,15
parlement,2,2.67,1.29,15,0,15
parlementair,5,1.80,1.08,15,0,15
parlevinken,1,2.60,1.82,5,10,15
parlevinker,4,3.00,2.83,2,13,15
parlofoon,5,4.29,0.91,14,1,15
parmant,1,2.80,1.48,5,10,15
parmantig,4,2.11,0.93,9,6,15
parochiaal,3,1.67,0.98,15,0,15
parochiaan,1,2.67,1.29,15,0,15
parochie,1,3.00,1.46,15,0,15
parochiezaal,5,3.93,1.03,15,0,15
parodie,2,2.07,0.80,15,0,15
parodiëren,2,1.93,1.16,15,0,15
parodontose,5,2.57,1.72,7,8,15
parool,4,3.00,1.41,9,6,15
part,5,2.71,1.49,14,1,15
parterre,2,3.88,1.36,8,7,15
participant,2,2.73,1.28,15,0,15
participatie,3,2.07,1.03,15,0,15
participeren,4,2.33,1.05,15,0,15
participium,4,1.67,1.00,9,6,15
particulier,5,1.93,1.16,15,0,15
partieel,2,1.80,0.94,15,0,15
partij,4,2.60,1.24,15,0,15
partijdig,2,1.67,0.90,15,0,15
partijlid,3,2.80,1.47,15,0,15
partikel,3,2.67,1.44,12,3,15
partitie,2,2.00,1.15,7,8,15
partituur,4,4.13,1.25,15,0,15
partizaan,1,3.00,1.69,8,7,15
partner,3,3.07,1.28,15,0,15
partnerschap,5,2.07,1.03,15,0,15
parttime,1,2.47,1.19,15,0,15
partus,2,2.80,1.79,5,10,15
party,3,3.60,1.30,15,0,15
parvenu,5,3.50,1.22,6,9,15
pas,2,3.20,1.21,15,0,15
pasfoto,1,4.67,0.62,15,0,15
pasgeboren,4,3.27,1.28,15,0,15
pasgeborene,2,4.20,0.86,15,0,15
pasgetrouwd,3,2.53,1.25,15,0,15
pasja,5,3.10,1.10,10,5,15
pasje,3,3.60,1.35,15,0,15
paskamer,5,4.36,0.93,14,1,15
pasklaar,4,2.53,1.25,15,0,15
paskwil,1,3.00,2.00,3,12,15
pasmunt,1,4.09,1.04,11,4,15
paspoort,2,4.20,1.01,15,0,15
pass,1,4.38,0.65,13,2,15
passaat,2,3.00,1.26,6,9,15
passage,3,2.27,1.22,15,0,15
passagier,3,3.67,0.72,15,0,15
passagieren,4,3.50,1.38,12,3,15
passant,2,2.67,1.18,15,0,15
passé,5,1.47,0.92,15,0,15
passen,4,3.40,1.30,15,0,15
passend,3,2.27,0.96,15,0,15
passer,5,4.86,0.53,14,1,15
passerelle,3,3.75,1.16,8,7,15
passeren,1,3.67,1.11,15,0,15
passie,2,1.87,0.92,15,0,15
passief,4,1.87,1.06,15,0,15
passiespel,5,2.73,1.16,15,0,15
passievrucht,2,4.87,0.35,15,0,15
passim,2,4.00,0.00,1,14,15
passioneel,3,2.33,1.29,15,0,15
passiva,3,1.75,0.97,12,3,15
passiviteit,5,2.07,1.16,15,0,15
pasta,3,4.73,0.46,15,0,15
pastei,5,4.43,0.65,14,1,15
pasteitje,2,4.00,1.20,15,0,15
pastel,2,3.80,1.32,15,0,15
pastelblauw,5,4.40,0.83,15,0,15
pasteltint,5,4.14,0.66,14,1,15
pasteuriseren,2,3.00,1.41,11,4,15
pastiche,3,2.80,1.40,10,5,15
pastille,2,4.00,1.11,14,1,15
pastinaak,5,4.85,0.55,13,2,15
pastoor,1,4.33,0.72,15,0,15
pastor,5,3.18,1.08,11,4,15
pastoraal,3,1.80,0.86,15,0,15
pastoraat,5,2.50,1.65,10,5,15
pastorale,5,1.85,0.90,13,2,15
pastorie,4,3.69,1.44,13,2,15
pastorij,2,3.53,1.25,15,0,15
pastrami,2,4.13,1.13,8,7,15
paswoord,2,3.00,1.20,15,0,15
patat,3,4.87,0.35,15,0,15
patatjes,3,4.67,0.72,15,0,15
patchoeli,1,4.25,0.89,8,7,15
patchwork,1,4.15,1.14,13,2,15
paté,5,4.60,0.63,15,0,15
patent,1,2.47,1.51,15,0,15
patenteren,3,2.36,1.28,14,1,15
pater,2,3.67,1.18,15,0,15
paternaal,3,1.93,1.14,14,1,15
paternalisme,5,1.50,1.09,14,1,15
paternalistisch,2,1.36,0.50,14,1,15
paternoster,3,4.27,0.96,15,0,15
pathetisch,3,1.31,0.63,13,2,15
pathogeen,1,1.91,1.45,11,4,15
pathologie,2,1.21,0.43,14,1,15
pathologisch,2,1.14,0.36,14,1,15
patholoog,5,2.57,1.28,14,1,15
pathos,2,1.63,1.41,8,7,15
patience,2,3.40,1.30,15,0,15
patiënt,4,3.93,1.10,15,0,15
patiënte,2,3.40,1.12,15,0,15
patio,1,4.54,0.66,13,2,15
patisserie,2,4.00,1.00,15,0,15
patissier,2,3.64,1.08,14,1,15
patriarch,4,2.77,1.48,13,2,15
patriarchaal,5,1.53,0.74,15,0,15
patriarchaat,1,2.00,1.35,13,2,15
patriciër,2,2.67,1.41,9,6,15
patrijs,1,4.79,0.43,14,1,15
patrijspoort,5,4.29,0.99,14,1,15
patrimonium,1,2.09,0.83,11,4,15
patriot,3,2.29,1.07,14,1,15
patriottisch,3,1.60,1.06,15,0,15
patriottisme,4,2.29,1.33,14,1,15
patron,2,2.93,1.33,15,0,15
patronaal,2,1.50,0.53,10,5,15
patronaat,4,2.62,1.12,13,2,15
patronage,3,1.64,0.92,11,4,15
patroneren,2,2.22,1.20,9,6,15
patroon,4,4.20,0.94,15,0,15
patrouille,4,3.73,0.70,15,0,15
patrouilleren,2,3.27,1.03,15,0,15
pats,3,2.91,1.45,11,4,15
patser,1,3.00,1.22,13,2,15
patserig,1,2.23,1.24,13,2,15
patstelling,5,2.11,1.36,9,6,15
pauk,5,4.67,0.65,12,3,15
paukenist,4,3.50,1.22,6,9,15
pauper,1,2.70,1.70,10,5,15
paus,4,4.00,1.13,15,0,15
pauselijk,4,2.00,1.00,15,0,15
pauw,1,4.93,0.26,15,0,15
pauwenoog,4,4.27,1.10,15,0,15
pauze,5,2.20,0.94,15,0,15
pauzeren,2,3.00,1.00,15,0,15
pauzetoets,5,4.00,1.07,15,0,15
paviljoen,3,3.57,1.16,14,1,15
pech,3,2.13,1.13,15,0,15
pechvogel,2,2.20,1.15,15,0,15
pectoraal,4,2.57,1.40,7,8,15
peda,5,2.90,0.99,10,5,15
pedaal,3,4.60,0.51,15,0,15
pedaalemmer,4,4.53,0.83,15,0,15
pedagogie,2,1.33,0.49,15,0,15
pedagogiek,1,2.27,1.39,15,0,15
pedagogisch,1,1.40,0.74,15,0,15
pedagoog,3,2.40,1.35,15,0,15
pedant,3,1.70,0.95,10,5,15
peddel,2,4.80,0.41,15,0,15
peddelen,3,3.93,0.80,15,0,15
pedel,3,3.67,1.21,6,9,15
pediater,5,2.71,1.27,14,1,15
pedicure,1,4.20,1.08,15,0,15
pedigree,4,3.56,1.33,9,6,15
pedofiel,5,2.73,1.33,15,0,15
pedofilie,4,2.73,1.39,15,0,15
pedologie,4,1.64,0.67,11,4,15
pee,3,2.89,1.83,9,6,15
peen,4,4.44,0.73,9,6,15
peepshow,5,4.00,0.88,14,1,15
peer,5,4.87,0.52,15,0,15
pees,3,4.13,0.64,15,0,15
peet,3,2.56,1.51,9,6,15
peetoom,3,2.57,1.50,14,1,15
peettante,5,3.21,1.12,14,1,15
peetvader,3,3.00,1.31,15,0,15
pegel,1,3.92,1.00,12,3,15
peignoir,1,4.71,0.47,14,1,15
peil,3,2.79,1.31,14,1,15
peilen,3,2.00,1.00,15,0,15
peilglas,1,4.33,0.71,9,6,15
peiling,1,2.73,1.39,15,0,15
peillood,4,3.90,1.20,10,5,15
peilloos,3,1.93,1.33,14,1,15
peinzen,5,2.40,1.24,15,0,15
peinzend,4,2.33,1.05,15,0,15
pejoratief,5,1.50,0.80,12,3,15
pek,5,4.21,1.19,14,1,15
pekel,4,3.77,0.83,13,2,15
pekelbad,4,4.09,0.83,11,4,15
pekelen,5,3.67,1.11,15,0,15
pekinees,2,4.53,0.92,15,0,15
pel,4,4.29,1.07,14,1,15
pelerine,4,3.33,2.08,3,12,15
pelgrim,5,2.80,1.15,15,0,15
pelgrimage,5,2.62,0.96,13,2,15
pelikaan,2,4.93,0.26,15,0,15
pellen,4,4.20,1.21,15,0,15
peloton,5,4.00,0.78,14,1,15
pels,5,4.60,0.91,15,0,15
peluw,4,3.71,1.60,7,8,15
pen,2,5.00,0.00,15,0,15
penaliseren,1,2.42,1.16,12,3,15
penalty,2,3.53,1.46,15,0,15
penarie,2,1.73,0.70,15,0,15
pendant,1,2.80,1.62,10,5,15
pendel,3,3.40,1.30,15,0,15
pendelaar,5,2.93,1.03,15,0,15
pendelen,2,3.00,1.13,15,0,15
pendule,5,4.17,1.03,12,3,15
penetrant,5,2.17,1.03,12,3,15
penetratie,4,4.40,0.74,15,0,15
penetreren,1,3.80,1.15,15,0,15
penibel,4,1.73,0.79,11,4,15
penicilline,5,4.21,1.19,14,1,15
penis,3,5.00,0.00,15,0,15
penitentiair,5,1.73,1.27,11,4,15
penitentie,2,1.88,0.99,8,7,15
pennen,3,3.87,1.06,15,0,15
pennenlikker,2,2.31,1.25,13,2,15
pennenstrijd,2,2.17,0.94,12,3,15
pennenvrucht,1,4.09,1.30,11,4,15
pennenzak,1,4.73,0.46,15,0,15
penning,2,3.86,1.23,14,1,15
penny,2,3.93,1.21,14,1,15
penoze,2,4.00,0.00,2,13,15
